home_team,away_team,home_score,away_score,tournament,city,country,neutral,Winner,Won_by_goals,Year,Month,Total_goals,matches,Tie,H/A/T
Scotland,England,0,0,Friendly,Glasgow,Scotland,False,Tie,0,1872,November,0,1,1,T
England,Scotland,4,2,Friendly,London,England,False,England,2,1873,March,6,1,0,H
Scotland,England,2,1,Friendly,Glasgow,Scotland,False,Scotland,1,1874,March,3,1,0,H
England,Scotland,2,2,Friendly,London,England,False,Tie,0,1875,March,4,1,1,T
Scotland,England,3,0,Friendly,Glasgow,Scotland,False,Scotland,3,1876,March,3,1,0,H
Scotland,Wales,4,0,Friendly,Glasgow,Scotland,False,Scotland,4,1876,March,4,1,0,H
England,Scotland,1,3,Friendly,London,England,False,Scotland,2,1877,March,4,1,0,A
Wales,Scotland,0,2,Friendly,Wrexham,Wales,False,Scotland,2,1877,March,2,1,0,A
Scotland,England,7,2,Friendly,Glasgow,Scotland,False,Scotland,5,1878,March,9,1,0,H
Scotland,Wales,9,0,Friendly,Glasgow,Scotland,False,Scotland,9,1878,March,9,1,0,H
England,Wales,2,1,Friendly,London,England,False,England,1,1879,January,3,1,0,H
England,Scotland,5,4,Friendly,London,England,False,England,1,1879,April,9,1,0,H
Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,3,1879,April,3,1,0,A
Scotland,England,5,4,Friendly,Glasgow,Scotland,False,Scotland,1,1880,March,9,1,0,H
Wales,England,2,3,Friendly,Wrexham,Wales,False,England,1,1880,March,5,1,0,A
Scotland,Wales,5,1,Friendly,Glasgow,Scotland,False,Scotland,4,1880,March,6,1,0,H
England,Wales,0,1,Friendly,Blackburn,England,False,Wales,1,1881,February,1,1,0,A
England,Scotland,1,6,Friendly,London,England,False,Scotland,5,1881,March,7,1,0,A
Wales,Scotland,1,5,Friendly,Wrexham,Wales,False,Scotland,4,1881,March,6,1,0,A
Northern Ireland,England,0,13,Friendly,Belfast,Republic of Ireland,False,England,13,1882,February,13,1,0,A
Wales,Northern Ireland,7,1,Friendly,Wrexham,Wales,False,Wales,6,1882,February,8,1,0,H
Scotland,England,5,1,Friendly,Glasgow,Scotland,False,Scotland,4,1882,March,6,1,0,H
Wales,England,5,3,Friendly,Wrexham,Wales,False,Wales,2,1882,March,8,1,0,H
Scotland,Wales,5,0,Friendly,Glasgow,Scotland,False,Scotland,5,1882,March,5,1,0,H
England,Wales,5,0,Friendly,London,England,False,England,5,1883,February,5,1,0,H
England,Northern Ireland,7,0,Friendly,Liverpool,England,False,England,7,1883,February,7,1,0,H
England,Scotland,2,3,Friendly,Sheffield,England,False,Scotland,1,1883,March,5,1,0,A
Wales,Scotland,0,3,Friendly,Wrexham,Wales,False,Scotland,3,1883,March,3,1,0,A
Northern Ireland,Wales,1,1,Friendly,Belfast,Republic of Ireland,False,Tie,0,1883,March,2,1,1,T
Northern Ireland,Scotland,0,5,British Championship,Belfast,Republic of Ireland,False,Scotland,5,1884,January,5,1,0,A
Wales,Northern Ireland,6,0,British Championship,Wrexham,Wales,False,Wales,6,1884,February,6,1,0,H
Northern Ireland,England,1,8,British Championship,Belfast,Republic of Ireland,False,England,7,1884,February,9,1,0,A
Scotland,England,1,0,British Championship,Glasgow,Scotland,False,Scotland,1,1884,March,1,1,0,H
Wales,England,0,4,British Championship,Wrexham,Wales,False,England,4,1884,March,4,1,0,A
Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,Scotland,3,1884,March,5,1,0,H
England,Northern Ireland,4,0,British Championship,Manchester,England,False,England,4,1885,February,4,1,0,H
England,Wales,1,1,British Championship,Blackburn,England,False,Tie,0,1885,March,2,1,1,T
Scotland,Northern Ireland,8,2,British Championship,Glasgow,Scotland,False,Scotland,6,1885,March,10,1,0,H
England,Scotland,1,1,British Championship,London,England,False,Tie,0,1885,March,2,1,1,T
Wales,Scotland,1,8,British Championship,Wrexham,Wales,False,Scotland,7,1885,March,9,1,0,A
Northern Ireland,Wales,2,8,British Championship,Belfast,Republic of Ireland,False,Wales,6,1885,April,10,1,0,A
United States,Canada,0,1,Friendly,Newark,United States,False,Canada,1,1885,November,1,1,0,A
Wales,Northern Ireland,5,0,British Championship,Wrexham,Wales,False,Wales,5,1886,February,5,1,0,H
Northern Ireland,England,1,6,British Championship,Belfast,Republic of Ireland,False,England,5,1886,March,7,1,0,A
Northern Ireland,Scotland,2,7,British Championship,Belfast,Republic of Ireland,False,Scotland,5,1886,March,9,1,0,A
Scotland,England,1,1,British Championship,Glasgow,Scotland,False,Tie,0,1886,March,2,1,1,T
Wales,England,1,3,British Championship,Wrexham,Wales,False,England,2,1886,March,4,1,0,A
Scotland,Wales,4,1,British Championship,Glasgow,Scotland,False,Scotland,3,1886,April,5,1,0,H
United States,Canada,3,2,Friendly,Newark,United States,False,United States,1,1886,November,5,1,0,H
England,Northern Ireland,7,0,British Championship,Sheffield,England,False,England,7,1887,February,7,1,0,H
Scotland,Northern Ireland,4,1,British Championship,Glasgow,Scotland,False,Scotland,3,1887,February,5,1,0,H
England,Wales,4,0,British Championship,London,England,False,England,4,1887,February,4,1,0,H
Northern Ireland,Wales,4,1,British Championship,Belfast,Republic of Ireland,False,Northern Ireland,3,1887,March,5,1,0,H
England,Scotland,2,3,British Championship,Blackburn,England,False,Scotland,1,1887,March,5,1,0,A
Wales,Scotland,0,2,British Championship,Wrexham,Wales,False,Scotland,2,1887,March,2,1,0,A
England,Wales,5,1,British Championship,Crewe,England,False,England,4,1888,February,6,1,0,H
Wales,Northern Ireland,11,0,British Championship,Wrexham,Wales,False,Wales,11,1888,March,11,1,0,H
Scotland,Wales,5,1,British Championship,Edinburgh,Scotland,False,Scotland,4,1888,March,6,1,0,H
Scotland,England,0,5,British Championship,Glasgow,Scotland,False,England,5,1888,March,5,1,0,A
Northern Ireland,Scotland,2,10,British Championship,Belfast,Republic of Ireland,False,Scotland,8,1888,March,12,1,0,A
Northern Ireland,England,1,5,British Championship,Belfast,Republic of Ireland,False,England,4,1888,April,6,1,0,A
Scotland,Canada,4,0,Friendly,Glasgow,Scotland,False,Scotland,4,1888,September,4,1,0,H
England,Wales,4,1,British Championship,Stoke-on-Trent,England,False,England,3,1889,February,5,1,0,H
England,Northern Ireland,6,1,British Championship,Liverpool,England,False,England,5,1889,March,7,1,0,H
Scotland,Northern Ireland,7,0,British Championship,Glasgow,Scotland,False,Scotland,7,1889,March,7,1,0,H
England,Scotland,2,3,British Championship,London,England,False,Scotland,1,1889,April,5,1,0,A
Wales,Scotland,0,0,British Championship,Wrexham,Wales,False,Tie,0,1889,April,0,1,1,T
Northern Ireland,Wales,1,3,British Championship,Belfast,Republic of Ireland,False,Wales,2,1889,April,4,1,0,A
Wales,Northern Ireland,5,2,British Championship,Shrewsbury,England,True,Wales,3,1890,February,7,1,0,H
Northern Ireland,England,1,9,British Championship,Belfast,Republic of Ireland,False,England,8,1890,March,10,1,0,A
Wales,England,1,3,British Championship,Wrexham,Wales,False,England,2,1890,March,4,1,0,A
Scotland,Wales,5,0,British Championship,Paisley,Scotland,False,Scotland,5,1890,March,5,1,0,H
Northern Ireland,Scotland,1,4,British Championship,Belfast,Republic of Ireland,False,Scotland,3,1890,March,5,1,0,A
Scotland,England,1,1,British Championship,Glasgow,Scotland,False,Tie,0,1890,April,2,1,1,T
Northern Ireland,Wales,7,2,British Championship,Belfast,Republic of Ireland,False,Northern Ireland,5,1891,February,9,1,0,H
England,Wales,4,1,British Championship,Sunderland,England,False,England,3,1891,March,5,1,0,H
England,Northern Ireland,6,1,British Championship,Wolverhampton,England,False,England,5,1891,March,7,1,0,H
Wales,Scotland,3,4,British Championship,Wrexham,Wales,False,Scotland,1,1891,March,7,1,0,A
Scotland,Northern Ireland,2,1,British Championship,Glasgow,Scotland,False,Scotland,1,1891,March,3,1,0,H
England,Scotland,2,1,British Championship,Blackburn,England,False,England,1,1891,April,3,1,0,H
Wales,Northern Ireland,1,1,British Championship,Bangor,Wales,False,Tie,0,1892,February,2,1,1,T
Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False,England,2,1892,March,2,1,0,A
Wales,England,0,2,British Championship,Wrexham,Wales,False,England,2,1892,March,2,1,0,A
Northern Ireland,Scotland,2,3,British Championship,Belfast,Republic of Ireland,False,Scotland,1,1892,March,5,1,0,A
Scotland,Wales,6,1,British Championship,Edinburgh,Scotland,False,Scotland,5,1892,March,7,1,0,H
Scotland,England,1,4,British Championship,Glasgow,Scotland,False,England,3,1892,April,5,1,0,A
England,Northern Ireland,6,1,British Championship,Birmingham,England,False,England,5,1893,February,7,1,0,H
England,Wales,6,0,British Championship,Stoke-on-Trent,England,False,England,6,1893,March,6,1,0,H
Wales,Scotland,0,8,British Championship,Wrexham,Wales,False,Scotland,8,1893,March,8,1,0,A
Scotland,Northern Ireland,6,1,British Championship,Glasgow,Scotland,False,Scotland,5,1893,March,7,1,0,H
England,Scotland,5,2,British Championship,Richmond,England,False,England,3,1893,April,7,1,0,H
Wales,Northern Ireland,4,1,British Championship,Swansea,Wales,False,Wales,3,1894,February,5,1,0,H
Northern Ireland,England,2,2,British Championship,Belfast,Republic of Ireland,False,Tie,0,1894,March,4,1,1,T
Wales,England,1,5,British Championship,Wrexham,Wales,False,England,4,1894,March,6,1,0,A
Scotland,Wales,5,2,British Championship,Kilmarnock,Scotland,False,Scotland,3,1894,March,7,1,0,H
Northern Ireland,Scotland,1,2,British Championship,Belfast,Republic of Ireland,False,Scotland,1,1894,March,3,1,0,A
Scotland,England,2,2,British Championship,Glasgow,Scotland,False,Tie,0,1894,April,4,1,1,T
England,Northern Ireland,9,0,British Championship,Derby,England,False,England,9,1895,March,9,1,0,H
Northern Ireland,Wales,2,2,British Championship,Belfast,Republic of Ireland,False,Tie,0,1895,March,4,1,1,T
England,Wales,1,1,British Championship,London,England,False,Tie,0,1895,March,2,1,1,T
Wales,Scotland,2,2,British Championship,Wrexham,Wales,False,Tie,0,1895,March,4,1,1,T
Scotland,Northern Ireland,3,1,British Championship,Glasgow,Scotland,False,Scotland,2,1895,March,4,1,0,H
England,Scotland,3,0,British Championship,Liverpool,England,False,England,3,1895,April,3,1,0,H
Wales,Northern Ireland,6,1,British Championship,Wrexham,Wales,False,Wales,5,1896,February,7,1,0,H
Northern Ireland,England,0,2,British Championship,Belfast,Republic of Ireland,False,England,2,1896,March,2,1,0,A
Wales,England,1,9,British Championship,Cardiff,Wales,False,England,8,1896,March,10,1,0,A
Scotland,Wales,4,0,British Championship,Dundee,Scotland,False,Scotland,4,1896,March,4,1,0,H
Northern Ireland,Scotland,3,3,British Championship,Belfast,Republic of Ireland,False,Tie,0,1896,March,6,1,1,T
Scotland,England,2,1,British Championship,Glasgow,Scotland,False,Scotland,1,1896,April,3,1,0,H
England,Northern Ireland,6,0,British Championship,Nottingham,England,False,England,6,1897,February,6,1,0,H
Northern Ireland,Wales,4,3,British Championship,Belfast,Republic of Ireland,False,Northern Ireland,1,1897,March,7,1,0,H
Wales,Scotland,2,2,British Championship,Wrexham,Wales,False,Tie,0,1897,March,4,1,1,T
Scotland,Northern Ireland,5,1,British Championship,Glasgow,Scotland,False,Scotland,4,1897,March,6,1,0,H
England,Wales,4,0,British Championship,Sheffield,England,False,England,4,1897,March,4,1,0,H
England,Scotland,1,2,British Championship,London,England,False,Scotland,1,1897,April,3,1,0,A
Wales,Northern Ireland,0,1,British Championship,Llandudno,Wales,False,Northern Ireland,1,1898,February,1,1,0,A
Northern Ireland,England,2,3,British Championship,Belfast,Republic of Ireland,False,England,1,1898,March,5,1,0,A
Scotland,Wales,5,2,British Championship,Motherwell,Scotland,False,Scotland,3,1898,March,7,1,0,H
Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False,Scotland,3,1898,March,3,1,0,A
Wales,England,0,3,British Championship,Wrexham,Wales,False,England,3,1898,March,3,1,0,A
Scotland,England,1,3,British Championship,Glasgow,Scotland,False,England,2,1898,April,4,1,0,A
England,Northern Ireland,13,2,British Championship,Sunderland,England,False,England,11,1899,February,15,1,0,H
Northern Ireland,Wales,1,0,British Championship,Belfast,Republic of Ireland,False,Northern Ireland,1,1899,March,1,1,0,H
Wales,Scotland,0,6,British Championship,Wrexham,Wales,False,Scotland,6,1899,March,6,1,0,A
England,Wales,4,0,British Championship,Bristol,England,False,England,4,1899,March,4,1,0,H
Scotland,Northern Ireland,9,1,British Championship,Glasgow,Scotland,False,Scotland,8,1899,March,10,1,0,H
England,Scotland,2,1,British Championship,Birmingham,England,False,England,1,1899,April,3,1,0,H
Scotland,Wales,5,2,British Championship,Aberdeen,Scotland,False,Scotland,3,1900,February,7,1,0,H
Wales,Northern Ireland,2,0,British Championship,Llandudno,Wales,False,Wales,2,1900,February,2,1,0,H
Northern Ireland,Scotland,0,3,British Championship,Belfast,Republic of Ireland,False,Scotland,3,1900,March,3,1,0,A
Northern Ireland,England,0,2,British Championship,Dublin,Republic of Ireland,False,England,2,1900,March,2,1,0,A
Wales,England,1,1,British Championship,Cardiff,Wales,False,Tie,0,1900,March,2,1,1,T
Scotland,England,4,1,British Championship,Glasgow,Scotland,False,Scotland,3,1900,April,5,1,0,H
Scotland,Northern Ireland,11,0,British Championship,Glasgow,Scotland,False,Scotland,11,1901,February,11,1,0,H
Wales,Scotland,1,1,British Championship,Wrexham,Wales,False,Tie,0,1901,March,2,1,1,T
England,Northern Ireland,3,0,British Championship,Southampton,England,False,England,3,1901,March,3,1,0,H
England,Wales,6,0,British Championship,Newcastle,England,False,England,6,1901,March,6,1,0,H
